País        TP        Tmin        Tmax        Lluvia(mm)
SLV        297.4        291.4        303.5        1724
SMR        284.8        281.2        288.5        840
SOM        300        294.2        305.9        282
STP        296.7        293.5        300        2169
SUR        298.7        294.3        303.1        2331
SVK        279.8        275.1        284.5        824
SVN        281.9        277.2        286.6        1161
SWE        275.1        270.9        279.3        624
SWZ        294.4        288.5        300.3        788
SYC        300.1        297.5        302.8        1970
SYR        290.7        283.8        297.7        318
TCA        301        297.9        304.1        3035
TCD        299.5        291.6        307.5        322
TGO        300.1        294.8        305.5        1168
THA        299.3        294.2        304.4        1622
TJK        275        269.1        280.9        491
TKL        300.9        297.9        303.9        2628
TKM        288.1        281.7        294.5        162
TON        298.2        295.5        301        1966
TTO        298.7        294.5        303        1787
TUN        292.1        286.5        297.9        313
TUR        284.1        278.4        289.8        593
TUV        301        297.9        304.1        3035
TZA        295.3        289.7        301        1071
UGA        295.8        289.6        302        1180
UKR        281.3        277        285.6        565
URY        290.5        285.2        295.9        1265
USA        281.5        275.2        287.9        736
UZB        285.1        278.8        291.3        206
VCT        299.8        296.4        303.2        1583
VEN        298.3        293.3        303.4        1875
VIR        298.6        294.5        302.7        2263
VNM        297.4        293.6        301.3        1821
VUT        297        293.6        300.3        2876
WSM        299.7        296.8        302.6        2991
YEM        296.8        291.6        302.1        167
ZAF        290.8        283.6        297.9        495
ZAR        297        291.4        302.6        1543
ZMB        294.4        287.5        301.3        1020
ZWE        294        287.2        300.8        692
