"NOMBRE DEL SUJETO DE APOYO","NOMBRE DEL PROYECTO","MONTO","FOMIX"
"DIRECCION GENERAL DE EDUCACION SUPERIOR TECNOLOGICA / CENTRO NACIONAL DE INVESTIGACION Y DESARROLLO TECNOLOGICO","FORTALECIMIENTO DE LA INFRAESTRUCTURA DE LOS LABORATORIOS DEL DIM PARA EL PROGRAMA DE DOCTORADO EN CIENCIAS EN INGENIERIA MECANICA",1166256.49,"MORELOS"
"UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS","FORTALECIMIENTO AL DOCTORADO EN CIENCIAS NATURALES",662000,"MORELOS"
"UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS","CONSOLIDACION DEL PROGRAMA DE MAESTRIA EN PSICOLOGIA",810200,"MORELOS"
"UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS","MAESTRIA EN ENFERMERIA DE LA UAEM",2616235,"MORELOS"
"ACADEMIA DE CIENCIAS DE MORELOS, A.C.","FORTALECIMIENTO DE LA VOCACION CIENTIFICA EN JOVENES MORELENSES DEL NIVEL MEDIO SUPERIOR.",2035015.9,"MORELOS"
"UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS","CONSOLIDACION DE LA MAESTRIA EN ATENCION A LA DIVERSIDAD Y EDUCACION INCLUSIVA",510500,"MORELOS"
"DIRECCION GENERAL DE EDUCACION SUPERIOR TECNOLOGICA / CENTRO NACIONAL DE INVESTIGACION Y DESARROLLO TECNOLOGICO","APOYO AL FORTALECIMIENTO Y DESARROLLO DE LA INFRAESTRUCTURA CIENTIFICA Y TECNOLOGICA DEL PROGRAMA DE MAESTRIA EN CIENCIAS DE LA INGENIERIA MECANICA DEL CENIDET",2107000,"MORELOS"
"SCHNEIDER R&D, S.A. DE C.V. 
","CAMPO SOLAR DEL CENTRO DE DESARROLLO E INNOVACION SCHNEIDER SCHNEIDER ELECTRIC EN MONTERREY MDIC, PARA EL IMPULSO TECNOLOGICO Y DE LA INNOVACION EN ENERGIAS VERDES.  ",6999999,"NUEVO LEON"
"UNIVERSIDAD AUTONOMA DE NUEVO LEON ","CONFORMACION DE CENTRO DE DESARROLLO DE RECURSO HUMANO ESPECIALIZADO EN MANTENIMIENTO AERONAUTICO ",5000000,"NUEVO LEON"
"CAMARA NACIONAL DE LA INDUSTRIA ELECTRONICA DE TELECOMUNICACIONES Y TECNOLOGIAS DE LA INFORMACION","CENTRO DE INNOVACION Y DESARROLLO QUE IMPULSE LA INTEGRACION Y COMPETITIVIDAD DEL SECTOR DE LAS TECNOLOGIAS DE LA INFORMACION Y COMUNICACION EN YUCATAN.",63929276,"YUCATAN"
"CENTRO NACIONAL  DE METROLOGIA","DESARROLLO DE MATERIAL DE REFERENCIA DE PLAGUICIDAS EN AGUACATE PARA ASEGURAR LA CALIDAD DE EXPORTACION.",3000000,"MICHOACAN"
"CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL","DESARROLLO DE UN SISTEMA INTEGRAL DE TELEMEDICINA PRE-HOSPITALARIA MEDIANTE EL DISENO DE DISPOSITIVOS MEDICOS PARA EL MONITOREO DE SIGNOS VITALES, INTERCONECTADOS AL CENTRO REGULADOR DE URGENCIAS MEDICAS DE QUERETARO",6000000,"QUERETARO"
"UNIVERSIDAD AUTONOMA DE QUERETARO","CREACION DEL CENTRO DE INVESTIGACION Y ECONOMIA APLICADA DE QUERETARO",9999879,"QUERETARO"
"PYROSMART MEXICO S. A. DE C. V.","DESARROLLO DE UN GENERADOR DE GASES PARA VALVULAS TAPONERAS CON UNA FORMULACION INNOVADORA QUE OTORGARA UN ALTO VALOR AGREGADO A LA INDUSTRIA PETROLERA",1849248,"ZACATECAS"
"UNIVERSIDAD AUTONOMA DE ZACATECAS","MAESTRIA EN CIENCIAS BIOMEDICAS DE LA UNIVERSIDAD AUTONOMA DE ZACATECAS.",1498000,"ZACATECAS"
"UNIVERSIDAD AUTONOMA DE ZACATECAS","FORTALECIMIENTO Y CONSOLIDACION DE LA MAESTRIA EN CIENCIAS AGROPECUARIAS DE LA UNIVERSIDAD AUTONOMA DE ZACATECAS",1495527.2,"ZACATECAS"
"CENTRO DE INVESTIGACION EN MATEMATICAS, A.C.","FORTALECIMIENTO DEL PROGRAMA DE MAESTRIA EN INGENIERIA DEL SOFTWARE CON LA INTEGRACION DE LA LINEA DE INVESTIGACION INTERACCION HOMBRE-MAQUINA",498328.7,"ZACATECAS"
"CENTRO DE INVESTIGACION EN MATEMATICAS, A.C.","FORTALECIMIENTO DE LA MAESTRIA EN INGENIERIA DEL SOFTWARE IMPARTIDA EN CIMAT UNIDAD ZACATECAS, CON LA CREACION DE LA LINEA DE INVESTIGACION EN SEGURIDAD EN TECNOLOGIAS DE INFORMACION Y COMUNICACION",500000,"ZACATECAS"
"UNIVERSIDAD AUTONOMA DE ZACATECAS","FORTALECIMIENTO Y CONSOLIDACION DEL DOCTORADO EN CIENCIAS AGROPECUARIAS DE LA UNIVERSIDAD AUTONOMA DE ZACATECAS",1496386,"ZACATECAS"
"UNIVERSIDAD DE COLIMA","CONSOLIDACION Y PUESTA EN MARCHA LA INFRAESTRUCTURA DEL LABORATORIO DE AGROBIOTECNOLOGIA DEL TECNOPARQUE CLQ",14000000,"COLIMA"
"UNIVERSIDAD DE COLIMA","FORTALECIMIENTO DE LA INFRAESTRUCTURA DEL LABORATORIO DE AGROBIOTECNOLOGIA DEL TECNOPARQUE CLQ PARA LA INNOVACION Y DESARROLLO DEL SECTOR AGROALIMENTARIO DEL ESTADO DE COLIMA",21000000,"COLIMA"
