State,City,Year,Month,Day,Store type,Price per kilogram
Coahuila,Piedras Negras,2007,1,19,Mom and Pop Store,10.0
Coahuila,Saltillo,2007,1,19,Mom and Pop Store,
Colima,Colima,2007,1,19,Mom and Pop Store,9.6
Chiapas,Tapachula,2007,1,19,Mom and Pop Store,
Chiapas,Tuxtla Gutiérrez,2007,1,19,Mom and Pop Store,9.2
Chihuahua,Chihuahua,2007,1,19,Mom and Pop Store,9.8
Chihuahua,Cd. Juárez,2007,1,19,Mom and Pop Store,
D.F.,D.F.,2007,1,19,Mom and Pop Store,8.4
D.F.,ZM D.F.,2007,1,19,Mom and Pop Store,7.8
Durango,Durango,2007,1,19,Mom and Pop Store,7.4
Durango,Gómez Palacio,2007,1,19,Mom and Pop Store,
Guanajuato,Irapuato,2007,1,19,Mom and Pop Store,
Guanajuato,León,2007,1,19,Mom and Pop Store,8.8
Guerrero,Acapulco,2007,1,19,Mom and Pop Store,9.6
Guerrero,Chilpancingo,2007,1,19,Mom and Pop Store,
Hidalgo,Pachuca,2007,1,19,Mom and Pop Store,9.0
Jalisco,Guadalajara,2007,1,19,Mom and Pop Store,9.4
Jalisco,ZM Guadalajara,2007,1,19,Mom and Pop Store,
Edo. México,Toluca,2007,1,19,Mom and Pop Store,8.4
Michoacán,Morelia,2007,1,19,Mom and Pop Store,8.0
Morelos,Cuernavaca,2007,1,19,Mom and Pop Store,10.6
Nayarit,Tepic,2007,1,19,Mom and Pop Store,10.0
Nuevo León,Monterrey,2007,1,19,Mom and Pop Store,9.7
Nuevo León,ZM Monterrey,2007,1,19,Mom and Pop Store,
Oaxaca,Oaxaca,2007,1,19,Mom and Pop Store,8.3
Puebla,Puebla,2007,1,19,Mom and Pop Store,8.8
Puebla,ZM Puebla,2007,1,19,Mom and Pop Store,
Querétaro,Querétaro,2007,1,19,Mom and Pop Store,9.0
Quintana Roo,Cancún,2007,1,19,Mom and Pop Store,9.8
Quintana Roo,Chetumal,2007,1,19,Mom and Pop Store,9.8
San Luis Potosí,San Luis Potosí,2007,1,19,Mom and Pop Store,8.8
Sinaloa,Culiacán,2007,1,19,Mom and Pop Store,9.0
Sonora,Cd. Obregón,2007,1,19,Mom and Pop Store,11.6
Sonora,Hermosillo,2007,1,19,Mom and Pop Store,11.4
Sonora,Nogales,2007,1,19,Mom and Pop Store,
Tabasco,Villahermosa,2007,1,19,Mom and Pop Store,11.4
Tamaulipas,Cd. Victoria,2007,1,19,Mom and Pop Store,8.6
Tamaulipas,Matamoros,2007,1,19,Mom and Pop Store,9.8
Tamaulipas,Nuevo Laredo,2007,1,19,Mom and Pop Store,9.8
Tamaulipas,Reynosa,2007,1,19,Mom and Pop Store,10.6
Tamaulipas,Tampico,2007,1,19,Mom and Pop Store,
Tlaxcala,Tlaxcala,2007,1,19,Mom and Pop Store,8.6
Veracruz,Coatzacoalcos,2007,1,19,Mom and Pop Store,9.8
Veracruz,Poza Rica,2007,1,19,Mom and Pop Store,10.0
Veracruz,Veracruz,2007,1,19,Mom and Pop Store,9.3
Veracruz,Xalapa,2007,1,19,Mom and Pop Store,8.6
Yucatán,Mérida,2007,1,19,Mom and Pop Store,9.2
Zacatecas,Zacatecas,2007,1,19,Mom and Pop Store,8.4
Aguascalientes,Aguascalientes,2007,1,20,Mom and Pop Store,9.9
Baja California,Mexicali,2007,1,20,Mom and Pop Store,
Baja California,Tijuana,2007,1,20,Mom and Pop Store,10.2
Baja California Sur,La Paz,2007,1,20,Mom and Pop Store,10.0
Campeche,Campeche,2007,1,20,Mom and Pop Store,9.4
Coahuila,Piedras Negras,2007,1,20,Mom and Pop Store,10.0
Coahuila,Saltillo,2007,1,20,Mom and Pop Store,
Colima,Colima,2007,1,20,Mom and Pop Store,9.6
Chiapas,Tapachula,2007,1,20,Mom and Pop Store,
Chiapas,Tuxtla Gutiérrez,2007,1,20,Mom and Pop Store,9.2
Chihuahua,Chihuahua,2007,1,20,Mom and Pop Store,9.5
Chihuahua,Cd. Juárez,2007,1,20,Mom and Pop Store,
D.F.,D.F.,2007,1,20,Mom and Pop Store,8.4
D.F.,ZM D.F.,2007,1,20,Mom and Pop Store,7.8
Durango,Durango,2007,1,20,Mom and Pop Store,7.9
Durango,Gómez Palacio,2007,1,20,Mom and Pop Store,
Guanajuato,Irapuato,2007,1,20,Mom and Pop Store,
Guanajuato,León,2007,1,20,Mom and Pop Store,8.8
Guerrero,Acapulco,2007,1,20,Mom and Pop Store,9.6
Guerrero,Chilpancingo,2007,1,20,Mom and Pop Store,
Hidalgo,Pachuca,2007,1,20,Mom and Pop Store,9.0
Jalisco,Guadalajara,2007,1,20,Mom and Pop Store,9.4
Jalisco,ZM Guadalajara,2007,1,20,Mom and Pop Store,
Edo. México,Toluca,2007,1,20,Mom and Pop Store,8.4
Michoacán,Morelia,2007,1,20,Mom and Pop Store,8.6
Morelos,Cuernavaca,2007,1,20,Mom and Pop Store,10.6
Nayarit,Tepic,2007,1,20,Mom and Pop Store,10.0
Nuevo León,Monterrey,2007,1,20,Mom and Pop Store,10.0
Nuevo León,ZM Monterrey,2007,1,20,Mom and Pop Store,
Oaxaca,Oaxaca,2007,1,20,Mom and Pop Store,
Puebla,Puebla,2007,1,20,Mom and Pop Store,8.8
Puebla,ZM Puebla,2007,1,20,Mom and Pop Store,
Querétaro,Querétaro,2007,1,20,Mom and Pop Store,9.0
Quintana Roo,Cancún,2007,1,20,Mom and Pop Store,
Quintana Roo,Chetumal,2007,1,20,Mom and Pop Store,10.0
San Luis Potosí,San Luis Potosí,2007,1,20,Mom and Pop Store,
Sinaloa,Culiacán,2007,1,20,Mom and Pop Store,8.7
Sonora,Cd. Obregón,2007,1,20,Mom and Pop Store,11.6
Sonora,Hermosillo,2007,1,20,Mom and Pop Store,11.4
Sonora,Nogales,2007,1,20,Mom and Pop Store,
Tabasco,Villahermosa,2007,1,20,Mom and Pop Store,11.4
Tamaulipas,Cd. Victoria,2007,1,20,Mom and Pop Store,8.6
Tamaulipas,Matamoros,2007,1,20,Mom and Pop Store,9.8
Tamaulipas,Nuevo Laredo,2007,1,20,Mom and Pop Store,9.8
Tamaulipas,Reynosa,2007,1,20,Mom and Pop Store,10.2
